,side,beta,std,pval,strain,experiment
0,Beneficial,-5.290323992244427,2.5649111417276678,0.2462566980632622,S,S
1,Deleterious,2.3535374846452877,0.6229541007921521,1.3507403591766376e-09,S,S
2,Beneficial,3.1697305671502867,4.5506702889519115,0.49284166960171916,S,A
3,Deleterious,3.2293378294540878,0.9847546399023793,3.620560085381661e-05,S,A
4,Beneficial,5.0207694485879255,12.187363239828159,0.43231063218428334,S,C
5,Deleterious,1.5698684480144354,0.9454462238072497,0.15066051688674348,S,C
6,Beneficial,5.46277471282936,4.866208038115285,0.05610293131087875,S,FS
7,Deleterious,2.3952757151356057,0.6192943056977296,0.00037495229895184837,S,FS
8,Beneficial,1.265079837925174,1.4195480516230363,0.3962495413852083,S,G
9,Deleterious,0.09226847348752662,0.249848358321768,0.7814784018007211,S,G
10,Beneficial,0.836414593548885,1.3088787857556767,0.4995210903978149,S,M
11,Deleterious,3.3395779852572387,0.7357227163541324,4.907594216339841e-09,S,M
12,Beneficial,8.142289529634416,3.8988569184607624,0.007840862032134287,S,P
13,Deleterious,1.9644320098590944,0.6737007180375958,0.0002880699506063983,S,P
14,Beneficial,1.2084849987101653,6.179441380688586,0.8316434323030508,S,WS
15,Deleterious,2.7423753266081987,0.7388065361911939,5.034133124142315e-07,S,WS
16,Beneficial,0.9278365985689221,5.006706567515363,0.8263105212282134,L,L
17,Deleterious,3.602684408322632,1.5719483634446394,0.00010514767770647345,L,L
18,Beneficial,3.182824008061899,4.6123838739873175,0.43009383317192795,L,B
19,Deleterious,4.8680238873500565,1.8621319660360829,0.0005358995252585711,L,B
20,Beneficial,0.9562145042691763,1.9899269817167133,0.641105776147625,L,D
21,Deleterious,4.724699255927971,2.5054513810257575,0.07781888478833267,L,D
22,Beneficial,0.3162049652938994,2.527004818494741,0.8983538145271641,L,FL
23,Deleterious,5.389951097392848,1.6460649520787465,6.934327772827112e-05,L,FL
24,Beneficial,1.3736225252443481,1.0144849471130677,0.07331624324357013,L,H
25,Deleterious,2.29349048815595,0.8076634861057569,0.00020507256485465978,L,H
26,Beneficial,4.614050830867324,2.2681996170850756,0.0043205704008833995,L,N
27,Deleterious,3.5496449371907985,1.0002649635366447,8.477088015026498e-07,L,N
28,Beneficial,3.50930877989609,2.561124189796403,0.06410939428926461,L,Q
29,Deleterious,2.1704974779318125,0.7948566692524128,0.02864173188994059,L,Q
30,Beneficial,5.271743509849278,2.4052775540983458,0.009379706029035336,L,WL
31,Deleterious,1.0384206235608024,0.7209258440362841,0.18487225971997165,L,WL
32,Beneficial,5.88240182288459,2.129860966802451,0.00016732832214527688,L,V
33,Deleterious,1.5153973372042189,1.0031301775257335,0.10347196962056643,L,V
34,Beneficial,4.211069945116614,2.5035126112134805,0.023958860533511348,R,R
35,Deleterious,1.443224788179149,0.40866257381520565,0.0009001684780317675,R,R
36,Beneficial,2.027650101545804,1.1632739853952188,0.18594120452268154,R,I
37,Deleterious,0.6799001663040487,0.5086591170484582,0.25142685667214754,R,I
38,Beneficial,1.9211816986124264,1.4798999880843597,0.1216246075077816,R,O
39,Deleterious,1.6216031189106834,0.44768660699053003,4.3504017807326484e-05,R,O
40,Beneficial,9.919976965495671,2.2277634718928234,2.5666587226846325e-06,R,T
41,Deleterious,2.8505547590604743,1.1130849544145778,0.005744719434356711,R,T
42,Beneficial,1.4782102933840808,1.121683126871098,0.18240128323909371,R,U
43,Deleterious,1.6834643249737917,0.4912792647852609,2.0446981399447254e-05,R,U
