,gene_ID 1,gene_ID 2,ll
0,ECB_00683,ECB_00684,6.25563832249541
1,ECB_00036,ECB_00037,6.254619384018509
2,ECB_00682,ECB_00683,6.25426557244361
3,ECB_00685,ECB_00686,6.207392277247009
4,ECB_02601,ECB_02602,6.204996672465839
5,ECB_00045,ECB_00046,6.18093964002761
6,ECB_00382,ECB_00383,6.16647195173365
7,ECB_03617,ECB_03618,6.16634961348075
8,ECB_00073,ECB_00074,6.1620992236847005
9,ECB_03616,ECB_03618,6.16065040535514
10,ECB_00183,ECB_02241,6.15155772915289
11,ECB_00681,ECB_00683,6.13199633827829
12,ECB_00263,ECB_00264,6.121316373878231
14,ECB_00692,ECB_00693,6.11074227339159
15,ECB_01070,ECB_01071,6.09091365472044
16,ECB_01218,ECB_01219,6.08722571251322
17,ECB_01174,ECB_01175,6.0871543568560496
19,ECB_03569,ECB_03570,6.0830494221938
21,ECB_01203,ECB_01204,6.078072919146759
22,ECB_02578,ECB_02579,6.063884513058129
23,ECB_01069,ECB_01070,6.0635014754485
24,ECB_01858,ECB_01859,6.05513840806183
25,ECB_00381,ECB_00382,6.05500651731347
26,ECB_03618,ECB_03620,6.0540733168555905
27,ECB_00687,ECB_00688,6.04879821711158
28,ECB_01651,ECB_01652,6.04665093594271
29,ECB_03113,ECB_03114,6.033298694742191
30,ECB_03778,ECB_03779,6.03270351904928
31,ECB_01650,ECB_01651,6.01726123272785
32,ECB_03816,ECB_03817,6.016202757212991
33,ECB_02608,ECB_02609,6.01422318505762
34,ECB_01075,ECB_01076,6.01308285770062
35,ECB_01220,ECB_01221,6.010777142523019
36,ECB_00380,ECB_00381,6.01026230198387
37,ECB_01066,ECB_01078,6.005306705796599
38,ECB_04112,ECB_04113,6.00027243017192
39,ECB_04158,ECB_04159,5.991853357455191
40,ECB_03618,ECB_03619,5.98880847922729
41,ECB_03164,ECB_03165,5.988652168760161
42,ECB_00926,ECB_00927,5.984091818606
43,ECB_01069,ECB_01071,5.974080302044361
44,ECB_04105,ECB_04106,5.97390176453562
45,ECB_03616,ECB_03617,5.97225336381126
46,ECB_04067,ECB_04069,5.971217586195589
47,ECB_02576,ECB_02577,5.968556003956679
48,ECB_00975,ECB_00976,5.9636826605478
49,ECB_02209,ECB_02210,5.96260697694912
50,ECB_01927,ECB_01928,5.961021647024161
51,ECB_03155,ECB_03156,5.95946161901095
52,ECB_00561,ECB_00562,5.957148007988019
53,ECB_02531,ECB_02532,5.95191258578934
54,ECB_01787,ECB_01789,5.95034416510925
55,ECB_03170,ECB_03171,5.9482939781272695
56,ECB_03168,ECB_03169,5.948195597157871
57,ECB_03152,ECB_03156,5.9478893109392095
58,ECB_04067,ECB_04070,5.947731981510691
59,ECB_03165,ECB_03168,5.942026348213919
60,ECB_00751,ECB_00752,5.941079427392321
61,ECB_03777,ECB_03778,5.9389002391062995
62,ECB_03159,ECB_03161,5.93872374057301
64,ECB_00014,ECB_00015,5.93441688639658
65,ECB_01648,ECB_01649,5.93365346461212
66,ECB_01682,ECB_01683,5.93257114641798
67,ECB_03168,ECB_03170,5.93048093240337
68,ECB_00927,ECB_00928,5.92870360330562
69,ECB_03619,ECB_03620,5.92822771821768
70,ECB_03148,ECB_03149,5.9269266007303605
71,ECB_01069,ECB_01074,5.923038896234949
72,ECB_00681,ECB_00682,5.920932975659981
73,ECB_03159,ECB_03160,5.91976051222249
74,ECB_02120,ECB_02360,5.919123289435941
75,ECB_03152,ECB_03155,5.91793062310676
76,ECB_02129,ECB_02130,5.917163718854019
77,ECB_00535,ECB_00536,5.91699228785074
78,ECB_03357,ECB_03358,5.9127972999838
79,ECB_03171,ECB_03172,5.9125937686250305
80,ECB_03152,ECB_03159,5.90979846023185
81,ECB_03149,ECB_03152,5.90861168691244
82,ECB_03165,ECB_03166,5.90581407006267
83,ECB_03166,ECB_03167,5.90156696549051
84,ECB_03147,ECB_03149,5.9014320896138095
85,ECB_01071,ECB_01072,5.901225864290089
86,ECB_02735,ECB_02736,5.89970503105776
87,ECB_00651,ECB_00652,5.899641352731509
88,ECB_01069,ECB_01072,5.899399576154599
89,ECB_03152,ECB_03157,5.897579164449461
91,ECB_02419,ECB_02421,5.8955691669844805
92,ECB_00379,ECB_00380,5.895365251424541
93,ECB_04154,ECB_04155,5.89519525283879
96,ECB_01432,ECB_03776,5.89209851263846
97,ECB_03167,ECB_03168,5.8919362172794605
98,ECB_02206,ECB_02207,5.8897303953584
99,ECB_02168,ECB_02169,5.88513571456016
100,ECB_03152,ECB_03158,5.88419644313176
101,ECB_01202,ECB_01203,5.8827243729147805
102,ECB_03168,ECB_03171,5.882708787968
103,ECB_03147,ECB_03148,5.88221778543648
104,ECB_00681,ECB_00684,5.8811796135925105
105,ECB_01078,ECB_01079,5.8786681996045
107,ECB_03160,ECB_03161,5.87657341905867
108,ECB_03618,ECB_03621,5.876448485738781
109,ECB_02579,ECB_02580,5.87508964739684
110,ECB_00682,ECB_00684,5.87370288788743
111,ECB_00381,ECB_00383,5.87145071467069
112,ECB_02417,ECB_02420,5.86947808029472
113,ECB_02097,ECB_02098,5.869037393828879
114,ECB_01650,ECB_01652,5.86865428757869
115,ECB_03391,ECB_03392,5.86852464720348
116,ECB_01073,ECB_01075,5.86611003647411
117,ECB_03157,ECB_03158,5.864132434041691
118,ECB_02077,ECB_02078,5.8634334529647
119,ECB_03152,ECB_03164,5.862768010696651
120,ECB_03164,ECB_03168,5.8622469374703
121,ECB_03156,ECB_03159,5.8614413967099805
122,ECB_03165,ECB_03170,5.8606453325567305
123,ECB_03158,ECB_03159,5.8604518218021395
124,ECB_03170,ECB_03172,5.85895949418931
125,ECB_03155,ECB_03169,5.85886987569911
127,ECB_03152,ECB_03168,5.85408363065377
128,ECB_00079,ECB_00080,5.853859671222299
129,ECB_03147,ECB_03152,5.85263997427028
130,ECB_03968,ECB_03969,5.852361716591179
131,ECB_01865,ECB_01866,5.8517274555786205
132,ECB_03166,ECB_03168,5.85080516746585
133,ECB_03163,ECB_03166,5.85065668818035
134,ECB_03165,ECB_03167,5.849926244880249
135,ECB_03152,ECB_03166,5.84863712580097
136,ECB_03152,ECB_03165,5.8473471372512105
138,ECB_01787,ECB_01788,5.84625691897945
139,ECB_03152,ECB_03167,5.84568458323784
141,ECB_00402,ECB_02445,5.84307420556391
143,ECB_03159,ECB_03169,5.8405917540969
144,ECB_00380,ECB_00382,5.83909211925578
145,ECB_03152,ECB_03169,5.83748811352215
146,ECB_03742,ECB_03743,5.836116765541989
147,ECB_03163,ECB_03168,5.835905436077669
148,ECB_02202,ECB_02203,5.835658055506211
150,ECB_02078,ECB_02079,5.83449491830429
151,ECB_02121,ECB_02123,5.832174523361
152,ECB_03152,ECB_03170,5.83008295732941
153,ECB_00976,ECB_00978,5.82824985564599
155,ECB_03160,ECB_03169,5.82752853054765
156,ECB_01069,ECB_01073,5.8260543570202605
157,ECB_03152,ECB_03160,5.82536419868166
158,ECB_03168,ECB_03172,5.825125759806349
159,ECB_03906,ECB_03907,5.824378600229651
160,ECB_04069,ECB_04070,5.8227489556806304
161,ECB_01072,ECB_01073,5.822686563687661
162,ECB_02167,ECB_02168,5.822382196748579
163,ECB_01068,ECB_01069,5.821837948442731
164,ECB_00898,ECB_00899,5.82132585493801
165,ECB_00165,ECB_02445,5.8209056413213
166,ECB_03163,ECB_03170,5.8204151694469
167,ECB_03163,ECB_03165,5.8196360494668
169,ECB_02131,ECB_02132,5.81856794585095
170,ECB_02232,ECB_02233,5.8152477624794106
171,ECB_01282,ECB_01283,5.81453607650344
172,ECB_00003,ECB_00004,5.813545131010191
173,ECB_01164,ECB_01165,5.81321414974446
174,ECB_00560,ECB_00561,5.81271038519469
175,ECB_03164,ECB_03166,5.812637815557669
176,ECB_00560,ECB_00562,5.8108987264407
177,ECB_01067,ECB_01072,5.810502559631809
178,ECB_03152,ECB_03171,5.810453983277579
179,ECB_00681,ECB_00685,5.80898012527663
180,ECB_00380,ECB_00383,5.80889246935202
181,ECB_01069,ECB_01075,5.806750675467369
182,ECB_03156,ECB_03157,5.80657510384967
183,ECB_03158,ECB_03169,5.80584064701967
184,ECB_03167,ECB_03171,5.80579636228953
185,ECB_03090,ECB_03091,5.804919040266651
186,ECB_01122,ECB_01123,5.804195529231349
187,ECB_03164,ECB_03167,5.794932737482541
188,ECB_00926,ECB_00928,5.79354015320557
190,ECB_03148,ECB_03152,5.7926869173325
191,ECB_04068,ECB_04069,5.792176308113401
192,ECB_00658,ECB_03331,5.79189342251972
193,ECB_02577,ECB_02578,5.79130890540566
194,ECB_01219,ECB_01220,5.790877475131789
195,ECB_03163,ECB_03164,5.7894553189438405
196,ECB_03152,ECB_03153,5.7887467475428
197,ECB_03156,ECB_03165,5.7885751629974695
198,ECB_03882,ECB_03883,5.78686486808967
199,ECB_00165,ECB_00402,5.786472410456669
201,ECB_00556,ECB_00557,5.78598539060645
202,ECB_03153,ECB_03155,5.78595513669183
203,ECB_03163,ECB_03169,5.785361989557769
204,ECB_04024,ECB_04025,5.784645410360639
205,ECB_01075,ECB_01079,5.78428569945453
206,ECB_03167,ECB_03170,5.783080995796619
207,ECB_03163,ECB_03171,5.783056349420919
208,ECB_03147,ECB_03169,5.78190838299717
209,ECB_01202,ECB_01204,5.780945310790781
210,ECB_03158,ECB_03161,5.78001813931323
211,ECB_00684,ECB_00685,5.77973346750295
212,ECB_02607,ECB_02608,5.77922555220222
213,ECB_01068,ECB_01071,5.77839631090402
214,ECB_04067,ECB_04068,5.777798630125299
215,ECB_03162,ECB_03163,5.777214447021049
217,ECB_03191,ECB_03192,5.77692022708215
218,ECB_01945,ECB_01946,5.7766203510183205
219,ECB_03615,ECB_03616,5.77590412240356
220,ECB_02123,ECB_02124,5.775241138287539
221,ECB_03165,ECB_03171,5.775048280645349
222,ECB_03620,ECB_03621,5.77366452978521
223,ECB_01075,ECB_01077,5.772103849906321
224,ECB_01069,ECB_01076,5.77195087020355
