,strain 1,strain 2,gene A,gene B,connected,distance_x,cluster 1,cluster 2,cluster 2B,distance_y,ll
0,S,R,ECB_02980,ECB_02984,0,1.0,2,4,7,1,2.08173353325595
1,S,L,ECB_02980,ECB_02984,0,1.0,2,4,0,1,2.08173353325595
2,R,S,ECB_01588,ECB_03569,0,1.0,4,9,2,1,1.21356021198509
3,R,L,ECB_00870,ECB_03365,0,1.0,0,0,7,1,3.52027120045538
4,R,L,ECB_01170,ECB_03452,1,1.0,0,6,6,1,1.24448890149841
5,L,R,ECB_01170,ECB_03452,1,1.0,6,0,0,1,1.24448890149841
6,R,S,ECB_00549,ECB_01409,0,1.0,8,3,4,1,2.96394753611286
7,S,L,ECB_01692,ECB_04085,0,1.0,10,6,0,1,2.5786220382805403
8,S,R,ECB_01692,ECB_04085,0,1.0,10,3,7,1,2.5786220382805403
9,S,L,ECB_00204,ECB_00206,0,1.0,8,5,4,1,3.98131970916138
10,S,R,ECB_00204,ECB_00206,0,1.0,8,0,3,1,3.98131970916138
11,L,S,ECB_01434,ECB_03951,0,1.0,0,3,1,1,2.66524365948985
12,R,L,ECB_02795,ECB_03341,0,1.0,6,6,1,1,1.86749586591308
13,R,S,ECB_02795,ECB_03341,0,1.0,6,6,2,1,1.86749586591308
14,L,S,ECB_01098,ECB_01453,1,1.0,3,7,7,1,4.14508857770527
15,S,R,ECB_01098,ECB_01453,0,1.0,7,3,7,1,4.14508857770527
16,S,L,ECB_01098,ECB_01453,1,1.0,7,3,3,1,4.14508857770527
17,L,R,ECB_01098,ECB_01453,0,1.0,3,3,7,1,4.14508857770527
18,R,S,ECB_00612,ECB_04088,0,1.0,5,1,5,1,1.85573855171619
19,L,S,ECB_00948,ECB_01738,0,1.0,1,1,4,1,2.4260329870241497
20,L,R,ECB_00948,ECB_01738,0,1.0,1,1,8,1,2.4260329870241497
21,R,S,ECB_03280,ECB_04009,0,1.0,0,7,3,1,1.22584530857944
22,R,L,ECB_03280,ECB_04009,0,1.0,0,4,1,1,1.22584530857944
23,L,S,ECB_00622,ECB_03770,0,1.0,0,9,10,1,1.54226157303918
24,L,R,ECB_00622,ECB_03770,0,1.0,0,7,3,1,1.54226157303918
25,R,S,ECB_02552,ECB_04009,0,1.0,0,7,3,1,3.11671367529234
26,R,L,ECB_02552,ECB_04009,0,1.0,0,5,1,1,3.11671367529234
27,S,R,ECB_01590,ECB_01591,0,1.0,11,4,7,1,2.3605956397730297
28,L,R,ECB_00386,ECB_04251,0,1.0,5,6,0,1,1.72818127225984
29,L,R,ECB_01370,ECB_03777,0,1.0,0,6,2,1,1.4567066004371798
30,S,R,ECB_00746,ECB_03930,0,1.0,6,2,1,1,4.66197272640919
31,S,L,ECB_00746,ECB_03930,0,1.0,6,2,5,1,4.66197272640919
32,L,R,ECB_00804,ECB_03291,1,1.0,0,0,0,1,1.50226942176965
33,R,L,ECB_00804,ECB_03291,1,1.0,0,0,0,1,1.50226942176965
34,L,R,ECB_01645,ECB_03318,0,1.0,6,6,1,1,2.37663131263505
35,L,S,ECB_01645,ECB_03318,0,1.0,6,4,6,1,2.37663131263505
36,S,R,ECB_02555,ECB_03511,1,1.0,1,5,5,1,1.39055797126375
37,R,S,ECB_02555,ECB_03511,1,1.0,5,1,1,1,1.39055797126375
38,S,L,ECB_01642,ECB_01643,0,1.0,6,1,3,1,4.81431209974819
39,S,R,ECB_01642,ECB_01643,1,1.0,6,6,6,1,4.81431209974819
40,R,L,ECB_01642,ECB_01643,0,1.0,6,1,3,1,4.81431209974819
41,R,S,ECB_01642,ECB_01643,1,1.0,6,6,6,1,4.81431209974819
42,S,R,ECB_02492,ECB_02494,0,1.0,5,2,7,1,3.1303668333246804
43,S,L,ECB_02492,ECB_02494,0,1.0,5,6,5,1,3.1303668333246804
44,L,R,ECB_00383,ECB_02235,0,1.0,5,6,3,1,3.1061034924163
45,S,R,ECB_03307,ECB_03627,0,1.0,3,7,3,1,2.50725391400054
