,side,beta,std,pval,contrast,strain,experiment,significant,corrected pval
0,Beneficial,0.0652060591,0.1028680689,0.5135062946,6kS.R,S,S,0,0.5545867982
1,Deleterious,0.0415503214,0.0101140556,1.12350548077458E-06,6kS.R,S,S,1,9.57936252028854E-06
2,Beneficial,0.0303492501,0.024437012,0.302139133,17kS.6kS,S,S,0,0.3708071177
3,Deleterious,0.0021012673,0.0022163563,0.3493347378,17kS.6kS,S,S,0,0.41611932
4,Beneficial,0.0060788373,0.0342058491,0.8925264617,40kS.6kS,S,S,0,0.9036830425
5,Deleterious,0.0032839962,0.003061898,0.3440551403,40kS.6kS,S,S,0,0.4128661683
6,Beneficial,-0.1329304748,0.156957987,0.2649458571,6kS.R,S,X,0,0.3379624318
7,Deleterious,0.063820678,0.0215197834,0.0003445338,6kS.R,S,X,1,0.0010944015
8,Beneficial,-0.0546549408,0.0419911607,0.1146818117,17kS.6kS,S,X,0,0.1915304484
9,Deleterious,0.0029821345,0.0043285748,0.53195642,17kS.6kS,S,X,0,0.5707082122
10,Beneficial,-0.0715641328,0.0611205023,0.2043824313,40kS.6kS,S,X,0,0.2904381919
11,Deleterious,-0.0070155833,0.005875653,0.3427329773,40kS.6kS,S,X,0,0.4128661683
12,Beneficial,-0.1000756309,0.1593153141,0.4932823164,6kS.R,S,C,0,0.5399441572
13,Deleterious,0.0824691622,0.0328533919,0.0041822075,6kS.R,S,C,1,0.0092810633
14,Beneficial,-0.0989586318,0.0526468527,0.0257489869,17kS.6kS,S,C,1,0.0490745398
15,Deleterious,0.0059173385,0.0076136294,0.448812166,17kS.6kS,S,C,0,0.5049136868
16,Beneficial,-0.0483165786,0.0432214753,0.4972521318,40kS.6kS,S,C,0,0.540636546
17,Deleterious,0.0104204922,0.0101541266,0.421404434,40kS.6kS,S,C,0,0.4841667965
18,Beneficial,0.0261177546,0.0660297752,0.6767793603,6kS.R,S,FS,0,0.7119367297
19,Deleterious,0.0543468652,0.0180928687,0.0007686817,6kS.R,S,FS,1,0.0022641169
20,Beneficial,-0.0600831254,0.0203387786,0.0004349673,17kS.6kS,S,FS,1,0.0013550903
21,Deleterious,0.0042656783,0.0039402639,0.2830120378,17kS.6kS,S,FS,0,0.3533828641
22,Beneficial,-0.0681196172,0.026240435,0.0155348929,40kS.6kS,S,FS,1,0.030690886
23,Deleterious,0.0071677129,0.0050021882,0.2534402798,40kS.6kS,S,FS,0,0.3312491881
24,Beneficial,0.0185655284,0.040684053,0.6165064228,6kS.R,S,G,0,0.6570660559
25,Deleterious,0.0383546291,0.0099066983,1.11569023209604E-07,6kS.R,S,G,1,1.50618181332965E-06
26,Beneficial,-0.0218309268,0.0071564192,0.041743742,17kS.6kS,S,G,0,0.0777297265
27,Deleterious,0.0026746464,0.0015175486,0.1719829562,17kS.6kS,S,G,0,0.2579744344
28,Beneficial,-0.0419770283,0.0131926472,0.0057716365,40kS.6kS,S,G,1,0.0126352042
29,Deleterious,0.0039825785,0.0022019315,0.1864663417,40kS.6kS,S,G,0,0.2721400663
30,Beneficial,0.0815441593,0.0637988083,0.0214822141,6kS.R,S,M,1,0.0414299843
31,Deleterious,0.0514984748,0.013054308,1.51784833053851E-05,6kS.R,S,M,1,7.45125544082541E-05
32,Beneficial,-0.0141330178,0.0096466542,0.1625502561,17kS.6kS,S,M,0,0.2507918237
33,Deleterious,0.0036215813,0.003044233,0.2400450681,17kS.6kS,S,M,0,0.3240608419
34,Beneficial,-0.0341521395,0.0146848601,0.0301026751,40kS.6kS,S,M,0,0.0567050391
35,Deleterious,0.0058103603,0.0043466499,0.200745883,40kS.6kS,S,M,0,0.2877949828
36,Beneficial,0.2256568227,0.0826199394,0.0023463858,6kS.R,S,P,1,0.0057593105
37,Deleterious,0.0338635757,0.0164935671,0.0024790058,6kS.R,S,P,1,0.0059940141
38,Beneficial,0.0038192091,0.0187506047,0.8539709922,17kS.6kS,S,P,0,0.8700836524
39,Deleterious,0.0042031578,0.0032186693,0.1552255854,17kS.6kS,S,P,0,0.2417937003
40,Beneficial,-0.0350225934,0.0263850873,0.2767045459,40kS.6kS,S,P,0,0.3502041909
41,Deleterious,0.0068466178,0.0042770457,0.1363892456,40kS.6kS,S,P,0,0.2187629484
42,Beneficial,0.1458253322,0.1142124384,0.1537066367,6kS.R,S,WS,0,0.2417521859
43,Deleterious,0.0363575782,0.011024358,0.0005653969,6kS.R,S,WS,1,0.0017281943
44,Beneficial,-0.0225741436,0.0316776792,0.4402467427,17kS.6kS,S,WS,0,0.4987410652
45,Deleterious,0.0022041245,0.0024484549,0.4285119528,17kS.6kS,S,WS,0,0.488865749
46,Beneficial,-0.0771918717,0.040796201,0.0896312419,40kS.6kS,S,WS,0,0.1528448547
47,Deleterious,0.0038232167,0.0036588107,0.3691803269,40kS.6kS,S,WS,0,0.4333856011
48,Beneficial,0.2091395182,0.1080614648,0.0487926784,6kL.R,L,L,0,0.0888136392
49,Deleterious,0.0721090294,0.0252648538,0.0001353916,6kL.R,L,L,1,0.0004984874
50,Beneficial,-0.0621199437,0.0368614207,0.1665941187,17kL.6kL,L,L,0,0.2546061059
51,Deleterious,0.0068868975,0.0072479844,0.3565483125,17kL.6kL,L,L,0,0.4216118731
52,Beneficial,-0.0909313552,0.0739259565,0.2535487613,40kL.6kL,L,L,0,0.3312491881
53,Deleterious,0.0068081714,0.0160143389,0.6224997217,40kL.6kL,L,L,0,0.6591173524
54,Beneficial,0.1194551292,0.1159315289,0.2908210846,6kL.R,L,Y,0,0.3596413412
55,Deleterious,0.1152024152,0.0485587918,0.0002664711,6kL.R,L,Y,1,0.0008809862
56,Beneficial,-0.0615988159,0.0388471337,0.2142918797,17kL.6kL,L,Y,0,0.3005604248
57,Deleterious,0.0031533065,0.0138522042,0.7876143373,17kL.6kL,L,Y,0,0.8175249649
58,Beneficial,-0.1095893889,0.087727612,0.2208560563,40kL.6kL,L,Y,0,0.3058006933
59,Deleterious,0.0059751419,0.028188623,0.7973391633,40kL.6kL,L,Y,0,0.8175249649
60,Beneficial,0.0839982873,0.0736758335,0.1383943077,6kL.R,L,D,0,0.219802724
61,Deleterious,0.0853537147,0.0566579552,0.110355927,6kL.R,L,D,0,0.1862256268
62,Beneficial,-0.0299925188,0.0241179081,0.2263471181,17kL.6kL,L,D,0,0.3107477385
63,Deleterious,-0.0270674202,0.0172012753,0.183105091,17kL.6kL,L,D,0,0.2696638613
64,Beneficial,-0.0024686918,0.0624281367,0.9574825,40kL.6kL,L,D,0,0.9574825
65,Deleterious,-0.0287220866,0.0392318225,0.4762220687,40kL.6kL,L,D,0,0.5284107885
66,Beneficial,0.1200695554,0.0731300002,0.0667416215,6kL.R,L,FL,0,0.1175232901
67,Deleterious,0.1016170475,0.0369162369,0.0001973405,6kL.R,L,FL,1,0.0006660242
68,Beneficial,-0.0778399217,0.0377503549,0.006987562,17kL.6kL,L,FL,1,0.0150931338
69,Deleterious,0.0120234762,0.0098367832,0.2593095512,17kL.6kL,L,FL,0,0.3360651784
70,Beneficial,-0.0681949129,0.0693985005,0.1769243541,40kL.6kL,L,FL,0,0.2629517924
71,Deleterious,0.0052452538,0.0229682582,0.7964786422,40kL.6kL,L,FL,0,0.8175249649
72,Beneficial,0.0370946208,0.0263894205,0.0473449193,6kL.R,L,H,0,0.0871576924
73,Deleterious,0.0701642991,0.0202898869,5.11158319488068E-08,6kL.R,L,H,1,7.52796797791519E-07
74,Beneficial,-0.0094821799,0.0086029656,0.262797755,17kL.6kL,L,H,0,0.3378828279
75,Deleterious,0.0036480088,0.0048861431,0.4844850028,17kL.6kL,L,H,0,0.533922248
76,Beneficial,-0.0221386162,0.0145033427,0.1246346739,40kL.6kL,L,H,0,0.2019081717
77,Deleterious,-0.0083007603,0.0151409494,0.4005850499,40kL.6kL,L,H,0,0.4668689071
78,Beneficial,0.0498843829,0.0569293223,0.2425315159,6kL.R,L,N,0,0.3247116163
79,Deleterious,0.0440148395,0.0229551485,0.0033011629,6kL.R,L,N,1,0.0076398341
80,Beneficial,-0.0014551345,0.0210850237,0.9383082935,17kL.6kL,L,N,0,0.9441362953
81,Deleterious,0.0039421745,0.004692448,0.4761162676,17kL.6kL,L,N,0,0.5284107885
82,Beneficial,-0.0098753722,0.0372183,0.7589278849,40kL.6kL,L,N,0,0.7932020474
83,Deleterious,0.0136598846,0.0179101352,0.2152161066,40kL.6kL,L,N,0,0.3005604248
84,Beneficial,0.2196003394,0.0538435761,5.09137133165093E-06,6kL.R,L,Q,1,3.43667564886438E-05
85,Deleterious,0.131467319,0.0266637083,2.1261347040125E-09,6kL.R,L,Q,1,6.88867644100051E-08
86,Beneficial,-0.1075244629,0.0384609409,3.51608653028717E-07,17kL.6kL,L,Q,1,3.35062363474425E-06
87,Deleterious,-0.0067688847,0.0053540909,0.4182314157,17kL.6kL,L,Q,0,0.4839534953
88,Beneficial,-0.1644195641,0.0498861152,1.02058931424095E-05,40kL.6kL,L,Q,1,5.70122306575978E-05
89,Deleterious,-0.0415873655,0.0179740711,0.012657315,40kL.6kL,L,Q,1,0.02531463
90,Beneficial,0.1755612278,0.0572213215,0.001651429,6kL.R,L,WL,1,0.0043857623
91,Deleterious,0.0747915407,0.0201444022,3.95864393633333E-05,6kL.R,L,WL,1,0.0001603251
92,Beneficial,-0.0575228607,0.0234196522,0.0162214165,17kL.6kL,L,WL,1,0.031661078
93,Deleterious,-0.0114486457,0.0084458146,0.1180205849,17kL.6kL,L,WL,0,0.1939242337
