,side,beta,std,pval,timepoint,strain,experiment,significant,corrected pval
0,Beneficial,-0.159379943815623,0.18228031628323327,0.38191827186006944,6.5k-20k,S,S,0,0.6818345197887096
1,Deleterious,-0.06422342698328065,0.03772944163920753,0.0887160379939311,6.5k-20k,S,S,0,0.39518962379114764
2,Beneficial,-0.37420078525205713,0.26601491065464966,0.15951903054848482,20k-40k,S,S,0,0.5106595471085521
3,Deleterious,-0.04429928516115501,0.04801274536115652,0.35618609439816407,20k-40k,S,S,0,0.6712737932888476
4,Beneficial,0.3454666740535144,0.25045570787108273,0.16778613722635505,6.5k-20k,S,A,0,0.5106595471085521
5,Deleterious,-0.041910164116627395,0.060200557492673556,0.4863188154793323,6.5k-20k,S,A,0,0.7564959351900724
6,Beneficial,0.5048274655167063,0.2874365325678959,0.07903560410787219,20k-40k,S,A,0,0.36883281917007027
7,Deleterious,-0.07186165646887296,0.08631086557299941,0.40507539345876487,20k-40k,S,A,0,0.6818345197887096
8,Beneficial,0.6382115750214301,0.3297298249605658,0.05292171935421087,6.5k-20k,S,C,0,0.3057033684811698
9,Deleterious,0.08301607698713238,0.0786545027957428,0.29121850775629765,6.5k-20k,S,C,0,0.6204220382634167
10,Beneficial,0.2696214709836492,0.4964055541342312,0.5870282013870997,20k-40k,S,C,0,0.8331125028805163
11,Deleterious,0.06609734840749218,0.10803471390516241,0.54065961351629,20k-40k,S,C,0,0.8027976079484306
12,Beneficial,-0.08704353487719506,0.1805859678867227,0.6298016256112717,6.5k-20k,S,FS,0,0.8331125028805163
13,Deleterious,-0.02073772723140688,0.05377352608465861,0.6997563536527858,6.5k-20k,S,FS,0,0.8572015332246625
14,Beneficial,0.1560044341885391,0.19155362161724995,0.4154063770784914,20k-40k,S,FS,0,0.6818345197887096
15,Deleterious,-0.23963862833212085,0.11444645288003516,0.03626951160427891,20k-40k,S,FS,0,0.2800276576337559
16,Beneficial,-0.8933826107734444,0.2761819574202668,0.001217446141226801,6.5k-20k,S,G,1,0.01988495364003775
17,Deleterious,0.005732234419726113,0.022518758888645327,0.7990677881648183,6.5k-20k,S,G,0,0.9000993475879562
18,Beneficial,-0.10289650590868607,0.17285391625659266,0.5516562194807767,20k-40k,S,G,0,0.8069001419271062
19,Deleterious,-0.025489830984374566,0.037992887464322944,0.5022774822301288,20k-40k,S,G,0,0.7691123946648848
20,Beneficial,0.0610669257599021,0.0714702908793241,0.392862399946984,6.5k-20k,S,M,0,0.6818345197887096
21,Deleterious,0.014852229171800275,0.03754202953951698,0.6923883001385044,6.5k-20k,S,M,0,0.8572015332246625
22,Beneficial,0.17549879471633656,0.08982338456852812,0.050722416656939676,20k-40k,S,M,0,0.3057033684811698
23,Deleterious,-0.08953948572700975,0.08913620190248225,0.31512593800047084,20k-40k,S,M,0,0.643382123417628
24,Beneficial,-0.19660823948007625,0.1532807360488231,0.19960854279964646,6.5k-20k,S,P,0,0.5106595471085521
25,Deleterious,0.0010020684250977281,0.03943550480720217,0.9797276871094037,6.5k-20k,S,P,0,0.9797276871094037
26,Beneficial,-0.023581649446415408,0.19534405353823064,0.9039139715457434,20k-40k,S,P,0,0.9628648827335092
27,Deleterious,-0.12719389486264834,0.09996169063947051,0.203221656502383,20k-40k,S,P,0,0.5106595471085521
28,Beneficial,-0.06271266889428011,0.18527210840913722,0.7349943158182382,6.5k-20k,S,WS,0,0.8784078408559431
29,Deleterious,0.002222313264599827,0.03535938037486621,0.9498864861023351,6.5k-20k,S,WS,0,0.9797276871094037
30,Beneficial,-0.0648312460212049,0.2422324577197269,0.7889759582594886,20k-40k,S,WS,0,0.9000993475879562
31,Deleterious,-0.176727031675238,0.09134713650987944,0.05303017616510088,20k-40k,S,WS,0,0.3057033684811698
32,Beneficial,0.2618305742758541,0.20260530947502,0.19624689405254714,6.5k-20k,L,L,0,0.5106595471085521
33,Deleterious,-0.23512550603231774,0.10943237897243338,0.031666776684437105,6.5k-20k,L,L,0,0.2800276576337559
34,Beneficial,0.12712603191494984,0.2719374701023228,0.6401546477481914,20k-40k,L,L,0,0.8331125028805163
35,Deleterious,-0.5974787126005646,0.21045571013307598,0.004525855914771259,20k-40k,L,L,0,0.06336198280679764
36,Beneficial,0.27565928614025365,0.2528068265087094,0.27553920684199096,6.5k-20k,L,B,0,0.6137009606935253
37,Deleterious,-0.07580390637935809,0.11973312405828715,0.526663621932316,6.5k-20k,L,B,0,0.7940466915287226
38,Beneficial,0.34843164068647825,0.3098323855380339,0.26076659218146636,20k-40k,L,B,0,0.5943052565996211
39,Deleterious,-0.25946751985108585,0.197627955878994,0.1892136173680422,20k-40k,L,B,0,0.5106595471085521
40,Beneficial,0.16093903564095458,0.15474977080350236,0.298342080268459,6.5k-20k,L,D,0,0.6220749758789145
41,Deleterious,-0.08738482981738104,0.19112644103013077,0.6475204508531748,6.5k-20k,L,D,0,0.8331125028805163
42,Beneficial,-0.03772752313315209,0.21859378273061222,0.8629721946035325,20k-40k,L,D,0,0.9343757554391011
43,Deleterious,-0.05274725959739381,0.2449603911706488,0.8295102370789152,20k-40k,L,D,0,0.9168789858667865
