tax_id	Org_name	GeneID	CurrentID	Status	Symbol	Aliases	description	other_designations	map_location	chromosome	genomic_nucleotide_accession.version	start_position_on_the_genomic_accession	end_position_on_the_genomic_accession	orientation	exon_count	OMIM	
511145	Escherichia coli str. K-12 substr. MG1655	947170	0	live	recA	b2699, ECK2694, lexB, recH, rnmB, srf, tif, umuB, zab	DNA recombination/repair protein RecA	DNA recombination/repair protein RecA			NC_000913.3	2822708	2823769	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948466	0	live	rrsB	b3968, ECK3960	16S ribosomal RNA				NC_000913.3	4166659	4168200	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948217	0	live	dnaA	b3702, ECK3694	chromosomal replication initiator protein DnaA	chromosomal replication initiator protein DnaA			NC_000913.3	3882326	3883729	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947777	0	live	rrsD	b3278, ECK3265	16S ribosomal RNA				NC_000913.3	3427221	3428762	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948511	0	live	rrsE	b4007, ECK3999	16S ribosomal RNA				NC_000913.3	4208147	4209688	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947071	0	live	rrsG	b2591, ECK2589	16S ribosomal RNA				NC_000913.3	2729616	2731157	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944897	0	live	rrsH	b0201, ECK0201	16S ribosomal RNA				NC_000913.3	223771	225312	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948270	0	live	rrsC	b3756, ECK3750	16S ribosomal RNA				NC_000913.3	3941808	3943349	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947867	0	live	crp	b3357, ECK3345, cap, csm, gurB	DNA-binding transcriptional dual regulator CRP	DNA-binding transcriptional dual regulator CRP			NC_000913.3	3486120	3486752	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947634	0	live	rnpB	b3123, ECK3111	ncRNA				NC_000913.3	3270216	3270592	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944786	0	live	ftsZ	b0095, ECK0096, sfiB, sulB	cell division protein FtsZ	cell division protein FtsZ			NC_000913.3	105305	106456	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947567	0	live	rpoD	b3067, ECK3057, alt	RNA polymerase, sigma 70 (sigma D) factor	RNA polymerase, sigma 70 (sigma D) factor			NC_000913.3	3213047	3214888	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944750	0	live	dnaK	b0014, ECK0014, groPAB, groPC, groPF, grpC, grpF, seg	chaperone protein DnaK	chaperone protein DnaK			NC_000913.3	12163	14079	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948488	0	live	rpoB	b3987, ECK3978, ftsR, groN, nitB, rif, ron, sdgB, stl, stv, tabD	RNA polymerase subunit beta	RNA polymerase subunit beta			NC_000913.3	4181245	4185273	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947210	0	live	rpoS	b2741, ECK2736, abrD, appR, csi2, dpeB, katF, nur, otsX, sigS	RNA polymerase, sigma S (sigma 38) factor	RNA polymerase, sigma S (sigma 38) factor			NC_000913.3	2866559	2867551	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948297	0	live	rho	b3783, ECK3775, nitA, nusD, psu, psuA, rnsC, sbaA, sun, tsu	transcription termination factor Rho	transcription termination factor Rho			NC_000913.3	3966417	3967676	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945829	0	live	hns	b1237, B1, ECK1232, H1, bglY, cur, drc, drdX, drs, fimG, hnsA, irk, msyA, osmZ, pilG, topS, topX, virR	DNA-binding transcriptional dual regulator H-NS	DNA-binding transcriptional dual regulator H-NS			NC_000913.3	1292509	1292922	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948473	0	live	rrlB	b3970, ECK3962	23S ribosomal RNA				NC_000913.3	4168641	4171544	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945006	0	live	lacZ	b0344, ECK0341	beta-galactosidase	beta-galactosidase			NC_000913.3	363231	366305	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944821	0	live	secA	b0098, ECK0099, azi, pea, prlD	protein translocation ATPase	protein translocation ATPase			NC_000913.3	108279	110984	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947585	0	live	rrlG	b2589, ECK2587	23S ribosomal RNA				NC_000913.3	2726281	2729184	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	945641	0	live	rne	b1084, ECK1069, ams, hmp1, smbB	ribonuclease E	ribonuclease E			NC_000913.3	1141182	1144367	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948509	0	live	rrlE	b4009, ECK4001	23S ribosomal RNA				NC_000913.3	4210043	4212946	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948665	0	live	groL	b4143, ECK4137, groEL, mopA	chaperonin GroEL	chaperonin GroEL			NC_000913.3	4371025	4372671	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947773	0	live	rrlD	b3275, ECK3262	23S ribosomal RNA				NC_000913.3	3423880	3426783	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	944900	0	live	rrlH	b0204, ECK0204	23S ribosomal RNA				NC_000913.3	225759	228662	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948268	0	live	rrlC	b3758, ECK3752	23S ribosomal RNA				NC_000913.3	3943704	3946607	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	949083	0	live	lacY	b0343, ECK0340	lactose permease	lactose permease			NC_000913.3	361926	363179	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948555	0	live	dnaB	b4052, ECK4044, groP, grpA, grpD	replicative DNA helicase	replicative DNA helicase			NC_000913.3	4264314	4265729	plus	0		
511145	Escherichia coli str. K-12 substr. MG1655	947794	0	live	rpoA	b3295, ECK3282, pez, phs, sez	RNA polymerase subunit alpha	RNA polymerase subunit alpha			NC_000913.3	3440040	3441029	minus	0		
511145	Escherichia coli str. K-12 substr. MG1655	948487	0	live	rpoC	b3988, ECK3979, tabB	RNA polymerase subunit beta'	RNA polymerase subunit beta'			NC_000913.3	4185350	4189573	plus	0		
