gene_ID,type,gene_symbol,start,stop,description,,,
ECB_00001,cds,thrL,190,255,thr operon leader peptide,,,
ECB_00002,cds,thrA,336,2798,bifunctional aspartokinase I/homeserine dehydrogenase I,,,
ECB_00003,cds,thrB,2800,3732,homoserine kinase,,,
ECB_00004,cds,thrC,3733,5019,threonine synthase,,,
ECB_00005,cds,yaaX,5232,5528,hypothetical protein,,,
ECB_00006,cds,yaaA,5681,6457,hypothetical protein,,,
ECB_00007,cds,yaaJ,6527,7957,predicted transporter,,,
ECB_00008,cds,talB,8236,9189,transaldolase B,,,
ECB_00009,cds,mogA,9304,9891,molybdenum cofactor biosynthesis protein,,,
ECB_00010,cds,yaaH,9926,10492,conserved inner membrane protein associated with acetate transport,,,
ECB_00011,cds,yaaW,10641,11354,hypothetical protein,,,
ECB_00012,cds,htgA,10828,11313,hypothetical protein,,,
ECB_00013,cds,yaaI,11380,11784,hypothetical protein,,,
ECB_00014,cds,dnaK,12161,14077,molecular chaperone DnaK,,,
EBG00001040642,ncrna,tpke11,14088,14165,,,,
ECB_00015,cds,dnaJ,14166,15296,"chaperone Hsp40, co-chaperone with DnaK",,,
ECB_00016,cds,insL-1,15443,16555,IS186 hypothetical protein,,,
ECB_00017,cds,mokC,16749,16958,"regulatory protein for HokC, overlaps CDS of hokC",,,
ECB_04280,cds,hokC,16749,16901,small toxic membrane polypeptide,,,
EBG00001040548,ncrna,sok,16899,17051,,,,
ECB_00018,cds,nhaA,17488,18654,pH-dependent sodium/proton antiporter,,,
ECB_00019,cds,nhaR,18714,19619,DNA-binding transcriptional activator,,,
ECB_00020,cds,,19658,20617,hypothetical protein,,,
ECB_00021,cds,,20630,21775,putative usher protein,,,
ECB_00022,cds,,22208,22912,conserved hypothetical protein,,,
ECB_00023,cds,insA-1,23346,23621,IS1 protein InsA,,,
ECB_00024,cds,insB-1,23540,24043,IS1 protein InsB,,,
ECB_00025,cds,,24054,24404,conserved hypothetical protein,,,
ECB_00026,cds,,24701,24865,hypothetical protein,,,
ECB_00027,cds,rpsT,24887,25150,30S ribosomal protein S20,,,
ECB_00028,cds,yaaY,25253,25471,hypothetical protein,,,
ECB_00029,cds,ribF,25479,26420,putative regulator,,,
ECB_00030,cds,ileS,26463,29279,isoleucyl-tRNA synthetase,,,
ECB_00031,cds,lspA,29279,29773,signal peptidase II,,,
ECB_00032,cds,fkpB,29898,30347,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),,,
ECB_00033,cds,ispH,30349,31299,4-hydroxy-3-methylbut-2-enyl diphosphate reductase,,,
ECB_00034,cds,rihC,31365,32279,ribonucleoside hydrolase 3,,,
ECB_00035,cds,dapB,32446,33267,dihydrodipicolinate reductase,,,
ECB_00036,cds,carA,33722,34870,carbamoyl-phosphate synthase small subunit,,,
ECB_00037,cds,carB,34888,38109,carbamoyl-phosphate synthase large subunit,,,
ECB_00038,cds,caiF,38371,38766,DNA-binding transcriptional activator,,,
ECB_00039,cds,caiE,38975,39565,predicted acyl transferase,,,
ECB_00040,cds,caiD,39571,40464,carnitinyl-CoA dehydratase,,,
ECB_00041,cds,caiC,40465,42033,crotonobetaine/carnitine-CoA ligase,,,
ECB_00043,cds,caiA,43437,44579,"crotonobetaine reductase subunit II, FAD-binding",,,
ECB_00044,cds,caiT,44610,46124,L-carnitine/gamma-butyrobetaine antiporter,,,
ECB_00045,cds,fixA,46598,47368,"predicted electron transfer flavoprotein subunit, ETFP adenine nucleotide-binding domain protein",,,
ECB_00046,cds,fixB,47383,48324,"predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein",,,
ECB_00047,cds,fixC,48375,49661,predicted oxidoreductase with FAD/NAD(P)-binding domain,,,
ECB_00048,cds,fixX,49658,49945,predicted 4Fe-4S ferredoxin-type protein,,,
ECB_00049,cds,yaaU,50002,51333,predicted transporter,,,
ECB_00050,cds,yabF,51441,51971,glutathione-regulated potassium-efflux system ancillary protein,,,
ECB_00051,cds,kefC,51964,53826,glutathione-regulated potassium-efflux system protein,,,
ECB_00052,cds,folA,54018,54497,dihydrofolate reductase,,,
ECB_00053,cds,apaH,54575,55417,diadenosinetetraphosphatase,,,
ECB_00054,cds,apaG,55424,55801,hypothetical protein,,,
ECB_00055,cds,ksgA,55804,56625,dimethyladenosine transferase,,,
